nid,Shorttitle,legno,Yearact,Longtitle,Inforce,Commdate,Assentdate,Filepath-old,Filepath,Body
731,"Appropriation 2006 Act, 2006",17,2006,,,,1147384800,files/zm/legislation/act/2006/17/a2006a2006176.pdf,public://import-downloads/files/zm/legislation/act/2006/17/a2006a2006176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/731.html
732,"Appropriation Act, 1997",13,1997,,,,860796000,files/zm/legislation/act/1997/13/aa1997176.pdf,public://import-downloads/files/zm/legislation/act/1997/13/aa1997176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/732.html
733,"Appropriation Act, 1998",3,1998,,,,891295200,files/zm/legislation/act/1998/3/aa1998176.pdf,public://import-downloads/files/zm/legislation/act/1998/3/aa1998176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/733.html
734,"Accountants (Amendment) Act, 1998",18,1998,,Yes,,907632000,files/zm/legislation/act/1998/18/aa1998221.pdf,public://import-downloads/files/zm/legislation/act/1998/18/aa1998221.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/734.html
735,"Appropriation Act, 1999",3,1999,,,,922226400,files/zm/legislation/act/1999/3/aa1999176.pdf,public://import-downloads/files/zm/legislation/act/1999/3/aa1999176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/735.html
736,"Arbitration Act, 2000",19,2000,,,,977522400,files/zm/legislation/act/2000/19/aa2000137.pdf,public://import-downloads/files/zm/legislation/act/2000/19/aa2000137.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/736.html
737,"Appropriation Act, 2001",6,2001,,,,985212000,files/zm/legislation/act/2001/6/aa2001176.pdf,public://import-downloads/files/zm/legislation/act/2001/6/aa2001176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/737.html
738,"Appropriation Act, 2002",6,2002,,,,1017871200,files/zm/legislation/act/2002/6/aa2002176.pdf,public://import-downloads/files/zm/legislation/act/2002/6/aa2002176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/738.html
739,"Appropriation Act, 2003",8,2003,,,,1049752800,files/zm/legislation/act/2003/8/aa2003176.pdf,public://import-downloads/files/zm/legislation/act/2003/8/aa2003176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/739.html
740,"Appropriation Act, 2004",7,2004,,,,1081980000,files/zm/legislation/act/2004/7/aa2004176.pdf,public://import-downloads/files/zm/legislation/act/2004/7/aa2004176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/740.html
741,"Appropriation Act, 2005",5,2005,,,,1112306400,files/zm/legislation/act/2005/5/aa2005176.pdf,public://import-downloads/files/zm/legislation/act/2005/5/aa2005176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/741.html
742,"Appropriation Act, 2007",9,2007,,,,1176328800,files/zm/legislation/act/2007/9/aa2007176.pdf,public://import-downloads/files/zm/legislation/act/2007/9/aa2007176.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/742.html
743,"Appropriation (Amendment) Act, 2007",16,2007,,,,1187560800,files/zm/legislation/act/2007/16/aa2007256.pdf,public://import-downloads/files/zm/legislation/act/2007/16/aa2007256.pdf,http://africanliidev.uct.ac.za/phpscript/zambiaupgrade/acts-of-parliament/743.html
