Filename1,Filename2,Judgement Date,Case Name,MNC,Jno,Citation,Case Number,Court Name
1984_1.rtf,1984_1.pdf,16 February 1984,S v Theron,[1984] ZASCA 1,1,1984 (2) SA 868 (A),224/83,Supreme Court Appeal
1984_2.rtf,1984_2.pdf,17 February 1984,Ocean Commodities Incorporated and Others v Standard Bank of S.A Ltd. and Others,[1984] ZASCA 2,2,1984 (3) SA 15 (A),211/83,Supreme Court Appeal
1984_3.rtf,1984_3.pdf,27 February 1984,S v Makhwanya,[1984] ZASCA 3,3,,270/1983,Supreme Court Appeal
1984_4.rtf,1984_4.pdf,28 February 1984,Malamed and Another v Cleveland Estate Malamed and Another vs Vorner Investments (Pty) Ltd,[1984] ZASCA 4,4,[1984] 2 All SA 110 (A) ; 1984 (3) SA 155 (A),02/84,Supreme Court Appeal
1984_5.rtf,1984_5.pdf,2 March 1984,S v Majiedt and Another,[1984] ZASCA 5,5,,238/83,Supreme Court Appeal
1984_6.rtf,1984_6.pdf,2 March 1984,Minister of Law and Order v Patterson,[1984] ZASCA 6,6,[1984] 2 All SA 134 (A) ; 1984 (2) SA 739 (A),3/84,Supreme Court Appeal
1984_7.rtf,1984_7.pdf,2 March 1984,Taylor v Devine,[1984] ZASCA 7,7,,122/82/AV,Supreme Court Appeal
1984_8.rtf,1984_8.pdf,5 March 1984,S v Basson,[1984] ZASCA 8,8,,357/1983,Supreme Court Appeal
1984_9.rtf,1984_9.pdf,8 March 1984,S v Mkhonto,[1984] ZASCA 9,9,,267/83,Supreme Court Appeal
1984_10.rtf,1984_10.pdf,8 March 1984,Standard General Versekeringsmaatskappy Bpk v Malantswane and Another,[1984] ZASCA 10,10,,161/82,Supreme Court Appeal
1984_11.rtf,1984_11.pdf,16 March 1984,S v Bonakele,[1984] ZASCA 11,11,,259/83,Supreme Court Appeal
1984_12.rtf,1984_12.pdf,16 March 1984,Marais NO v Shield Insurance Company Ltd.,[1984] ZASCA 12,12,,360/1982,Supreme Court Appeal
1984_13.rtf,1984_13.pdf,16 March 1984,S v Boshielo,[1984] ZASCA 13,13,,145/83,Supreme Court Appeal
1984_14.rtf,1984_14.pdf,16 March 1984,Blue Circle Cement Ltd. v Commissioner for Inland Revenue,[1984] ZASCA 14,14,[1984] 2 All SA 188 (D) ; 1984 (2) SA 764 (A),39/84,Supreme Court Appeal
1984_15.rtf,1984_15.pdf,19 March 1984,Uithaler v Uitenhage Passenger Transpost Ltd.,[1984] ZASCA 15,15,,468/81,Supreme Court Appeal
1984_16.rtf,1984_16.pdf,19 March 1984,S v Yengwa and Another,[1984] ZASCA 16,16,,8/1984,Supreme Court Appeal
1984_17.rtf,1984_17.pdf,22 March 1984,President Versekeringsmaatskappy Bpk. v Hefer Another,[1984] ZASCA 17,17,,275/82,Supreme Court Appeal
1984_18.rtf,1984_18.pdf,22 March 1984,Zwart and Mansell NNO v Snobberie Cape Pty Ltd,[1984] ZASCA 18,18,,261/82,Supreme Court Appeal
1984_19.rtf,1984_19.pdf,22 March 1984,Braun and Another v Botha and Another,[1984] ZASCA 19,19,[1984] 2 All SA 197 (D) ; 1984 (2) SA 850 (A),263/82,Supreme Court Appeal
1984_20.rtf,1984_20.pdf,22 March 1984,Firs Investment Ltd v Levy Bros Estates (Pty) Ltd,[1984] ZASCA 20,20,[1984] 2 All SA 211 (A) ; 1984 (2) SA 881 (A),257/82,Supreme Court Appeal
1984_21.rtf,1984_21.pdf,22 March 1984,S v Kotze,[1984] ZASCA 21,21,,19/84,Supreme Court Appeal
1984_22.rtf,1984_22.pdf,23 March 1984,S v Sokhele,[1984] ZASCA 22,22,,21/84,Supreme Court Appeal
1984_23.rtf,1984_23.pdf,23 March 1984,Du Preez en 'n Ander v Vennote,[1984] ZASCA 23,23,,22/79,Supreme Court Appeal
1984_24.rtf,1984_24.pdf,23 March 1984,Wolmarans v Santam Versekeringsmaatskappy Bpk.,[1984] ZASCA 24,24,[1985] 1 All SA 311 (A),268/82,Supreme Court Appeal
