guid,Filename1,jdate,Title,MNC,Jno,Casenumber,Courtname,Body,,
1,"import-downloads/1984_1.rtf,import-downloads/1984_1.pdf",16 January1984,S v Theron,[1984] ZASCA 1,1,224/83,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_1.html,,
2,"import-downloads/1984_2.rtf,import-downloads/1984_2.pdf",17 February 1984,Ocean Commodities Incorporated and Others v Standard Bank of S.A Ltd. and Others,[1984] ZASCA 2,2,211/83,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_2.html,,
3,"import-downloads/1984_3.rtf,import-downloads/1984_3.pdf",27 February 1990,S v Makhwanya,[1990] ZASCA 3,3,270/1983,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_3.html,,
4,"import-downloads/1984_4.rtf,import-downloads/1984_4.pdf",28 February 1995,Malamed and Another v Cleveland Estate Malamed and Another vs Vorner Investments Pty Ltd,[1995] ZASCA 4,4,02/84,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_4.html,,
5,"import-downloads/1984_5.rtf,import-downloads/1984_5.pdf",12 March 2000,S v Majiedt and Another,[2000] ZASCA 5,5,238/83,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_5.html,,
6,"import-downloads/1984_6.rtf,import-downloads/1984_6.pdf",21 April 2005,Minister of Law and Order v Patterson,[2005] ZASCA 6,6,3/84,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_6.html,,
7,"import-downloads/1984_7.rtf,import-downloads/1984_7.pdf",2 March 2007,Taylor v Devine,[2007] ZASCA 7,7,122/82/AV,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_7.html,,
8,"import-downloads/1984_8.rtf,import-downloads/1984_8.pdf",3 March 2010,S v Basson,[2010] ZASCA 8,8,357/1983,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_8.html,,
9,"import-downloads/1984_9.rtf,import-downloads/1984_9.pdf",4 March 2015,S v Mkhonto,[2015] ZASCA 9,9,267/83,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/1991_9.html,,
10,"import-downloads/1991_9.rtf,import-downloads/1991_9.pdf",29 November 2014,S v Bhulwana,[2014] ZASCA 19,19,1996 (1) SA 388,Supreme Court,http://africanliidev.uct.ac.za/uploaded_files/supreme-court/1991_9.html,,"import-downloads/1991_9.rtf,import-downloads/1991_9.pdf"
11,"public://import-downloads/1995_1.rtf,public://import-downloads/1995_1.pdf",5 April 1995,S v Zuma and Others,[1995] ZACC 1,1,CCT5/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_1.html,,
12,"public://import-downloads/1995_3.rtf,public://import-downloads/1995_3.pdf",6 June 1995,S v Makwanyane and Another,[1995] ZACC 3,3,CCT3/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_3.html,,
13,"public://import-downloads/1995_4.rtf,public://import-downloads/1995_4.pdf",8 June 1995,S v Mhlungu and Others,[1995] ZACC 4,4,CCT25/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_4.html,,
14,"public://import-downloads/1995_6.rtf,public://import-downloads/1995_6.pdf",9 June 1995,S v Williams and Others,[1995] ZACC 6,6,CCT20/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_6.html,,
15,"public://import-downloads/1995_7.rtf,public://import-downloads/1995_7.pdf",22 September 1995,Coetzee v Government of the Republic of South Africa,[1995] ZACC 7,7, CCT22/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_7.html,,
16,"public://import-downloads/1995_8.rtf,public://import-downloads/1995_8.pdf",22 September 1995,Executive Council of the Western Cape Legislature and Others v President of the Republic of South Africa and Others,[1995] ZACC 8,8,CCT27/95,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_8.html,,
17,"public://import-downloads/1995_9.rtf,public://import-downloads/1995_9.pdf",22 September 1995,Zantsi v Council of State,[1995] ZACC 9,9,CCT24/94,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_9.html,,
18,"public://import-downloads/1995_10.rtf,public://import-downloads/1995_10.pdf",29 November 1995,Premier of Kwazulu-Natal and Others v President of the Republic of South Africa and Others,[1995] ZACC 10,10,CCT36/95,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_10.html,,
19,"public://import-downloads/1995_11.rtf,public://import-downloads/1995_11.pdf",29 November 1995,S v Bhulwana,[1995] ZACC 11,11, CCT11/95,Constitutional Court,http://africanliidev.uct.ac.za/uploaded_files/constcourt/1995_11.html,,
